"species","ConsCodes","counts"
"Acarospora admissa","DD",18
"Trimmatothelopsis benedarensis","DD",14
"Myriospora scabrida","DD",24
"Acolium marcianum","DD",22
"Acrocordia subglobosa","DD",2
"Adelolecia pilati","DD",66
"Alyxoria subelevata","EN",94
"Arthonia anglica","EN",64
"Arthonia diploiciae","DD",44
"Arthonia stereocaulina","DD",6
"Collemopsidium argilospilum","DD",4
"Frigidopyrenia bryospila","DD",14
"Collemopsidium pelvetiae","DD",22
"Arthopyrenia platypyrenia","DD",15
"Collemopsidium subarenisedum","DD",22
"Arthrorhaphis vacillans","DD",2
"Bellemerea alpina","CR",38
"Aspicilia aquatica","DD",82
"Bacidia assulata","DD",32
"Bibbya vermifera","EN",68
"Bacidia subturgidula","CR",40
"Belonia calcicola","DD",16
"Lecidea mucosa","DD",4
"Biatorella fossarum","EN",58
"Catillaria minuta","DD",6
"Orcularia insperata","DD",249
"Rhizocarpon infernulum","DD",506
"Buellia jugorum","DD",2
"Rinodina occulta","DD",46
"Tetramelas papillatus","CR",2
"Buellia spuria","DD",6
"Buellia uberior","DD",24
"Calicium corynellum","CR",0
"Calicium diploellum","CR",64
"Calicium hyperelloides","CR",26
"Sphinctrina leucopoda","DD",3
"Calicium trachylioides","CR",4
"Gyalolechia flavorubescens","EN",0
"Cerothallia luteoalba","EN",0
"Blastenia ammiospila","EN",0
"Kuettlingeria atroflava","CR",0
"Squamulea subsoluta","DD",0
"Solitaria chrysophthalma","DD",0
"Caloplaca concilians","DD",20
"Sanguineodiscus haematites","DD",0
"Caloplaca nivalis","CR",24
"Kuettlingeria soralifera","DD",0
"Caloplaca virescens","EN",82
"Dictyonema coppinsii","DD",76
"Placidium boccanum","DD",6
"Catapyrenium psoromoides","CR",52
"Placidium rufescens","DD",98
"Involucropyrenium waltheri","CR",2
"Chaenothecopsis viridialba","DD",0
"Cladonia alpina","DD",28
"Cladonia rubrotincta","DD",0
"Cladonia umbricola","DD",46
"Cladonia stereoclada","DD",20
"Clauzadea chondrodes","DD",86
"Cliostomum coppinsii","DD",2
"Cliostomum leprosum","DD",2
"Scytinium callopismum","DD",70
"Scytinium callopismum","DD",70
"Lempholemma chalazanum","DD",60
"Enchylium confertum","DD",12
"Scytinium fragrans","EN",488
"Lathagrium undulatum","DD",78
"Collema subnigrescens","DD",54
"Pyrenocarpon thelostomum","DD",24
"Placynthium caesium","DD",4
"Crocodia aurata","CR",120
"Cryptolechia carneolutea","EN",618
"Phylliscum rhodostictum","DD",0
"Verrucula latericola","DD",32
"Diploschistes actinostoma","CR",10
"Melaspilea interjecta","DD",84
"Endocarpon pallidulum","CR",12
"Endohyalina insularis","DD",2
"Enterographa elaborata","CR",480
"Euopsis granatina","DD",18
"Gyalolechia fulgens","EN",0
"Ropalospora hibernica","DD",4
"Xanthomendoza fulva","DD",0
"Gyalecta biformis","DD",42
"Gyalidea roseola","CR",12
"Gyalidea diaphana","DD",12
"Gyalidea lecideopsis","DD",30
"Heterodermia speciosa","CR",30
"Hymenelia rhodopis","DD",8
"Hymenelia suaveolens","DD",0
"Rinodina cinnamomea","EN",4
"Lambiella sphacelata","CR",4
"Lecania coerulescens","DD",14
"Lecania nylanderiana","DD",28
"Protoparmeliopsis achariana","CR",116
"Myriolecis agardhiana","DD",144
"Lecanora rugosella","DD",58
"Lecanora gisleriana","DD",56
"Lecanora hypoptella","DD",8
"Squamarina lentigera","CR",134
"Lecanora marginata","DD",24
"Lecanora ochroidea","DD",86
"Lecanoropsis sarcopidoides","DD",0
"Myriolecis salina","DD",24
"Lecanoropsis subintricata","DD",0
"Protomicarea commaculans","DD",54
"Lecidea paraclitica","DD",6
"Lecidea endomelaena","DD",102
"Traponora varians","DD",26
"Micarea subconfusa","DD",10
"Lecidea haerjedalica","DD",2
"Lecidea inops","EN",8
"Lecidea siderolithica","DD",2
"Lecidea obluridata","DD",16
"Lecidella patavina","DD",8
"Lecidea promixta","DD",58
