"family","species","counts"
"Acrospermaceae","Gonatophragmium lichenophilum",6
"Adelococcaceae","Sagediopsis lomnitzensis",50
"Antennulariellaceae","Antennulariella lichenisata",44
"Arthopyreniaceae","Mycoglaena myricae",682
"Ascodichaenaceae","Ascodichaena rugosa",0
"Biatorellaceae","Biatorella fossarum",58
"Brigantiaeaceae","Brigantiaea fuscolutea",156
"Coccocarpiaceae","Spilonema paradoxum",12
"Coccodiniaceae","Dennisiella babingtonii",0
"Coniophoraceae","Penttilamyces lichenicola",2
"Crittendeniaceae","Crittendenia absistentis",6
"Cucurbitariaceae","Pyrenochaeta xanthoriae",6
"Cyphobasidiaceae","Cyphobasidium usneicola",0
"Dictyosporiaceae","Verrucoccum coppinsii",14
"Didymellaceae","Leptosphaerulina peltigerae",2
"Endococcaceae","Endococcus propinquus",160
"Halosphaeriaceae","Cirrenalia lichenicola",0
"Helminthosphaeriaceae","Endophragmiella hughesii",6
"Hemigraphaceae","Hemigrapha atlantica",38
"Hyaloscyphaceae","Protounguicularia nephromatis",8
"Hypocreaceae","Acremonium lichenicola",6
"Hyponectriaceae","Exarmidium hemisphaericum",0
"Leptosphaeriaceae","Leptosphaeria clarkii",2
"Lichinodiaceae","Lichinodium sirosiphoideum",12
"Malmideaceae","Zhurbenkoa epicladonia",14
"Microascaceae","Graphium aphthosae",4
"Microthyriaceae","Lichenopeltella peltigericola",30
"Mycosphaerellaceae","Stigmidium microspilum",1056
"Niessliaceae","Niesslia cladoniicola",8
"Obryzaceae","Obryzum corniculatum",14
"Odontotremataceae","Xerotrema quercicola",268
"Phacidiaceae","Bulgaria inquinans",0
"Phaeococcomycetaceae","Lichenostigma maureri",140
"Phyllachoraceae","Lichenochora obscuroides",228
"Pleomassariaceae","Splanchnonema scoriadea",0
"Pseudoperisporiaceae","Myxophora leptogiophila",44
"Ramboldiaceae","Ramboldia insidiosa",14
"Rhizodiscinaceae","Rhizodiscina lignyota",0
"Roccellographaceae","Roccellographa circumscripta",510
"Saccotheciaceae","Pseudoseptoria usneae",2
"Sarcopyreniaceae","Sarcopyrenia geisleri",1881
"Seuratiaceae","Seuratia millardetii",0
"Trichosphaeriaceae","Trichosphaeria lichenum",0
"Tubeufiaceae","Lichenotubeufia heterodermiae",58
