"species","counts"
"Lecanora campestris",29144
"Lecanora soralifera",12192
"Myriolecis crenulata",11969
"Enterographa crassa",11596
"Arthonia atra",10769
"Blennothallia crispa",9343
"Graphis elegans",9090
"Cresponea premnea",8719
"Lathagrium auriforme",8505
"Buellia ocellata",8135
"Arthonia calcarea",8076
"Enchylium tenax",7723
"Diarthonis spadicea",7587
"Catillaria lenticularis",7334
"Porpidia soredizodes",6729
"Lecanora gangaleoides",6101
"Lepra multipuncta",5988
"Pertusaria pseudocorallina",5897
"Clathroporinopsis nidarosiensis",5881
"Anisomeridium ranunculosporum",5760
"Pyrenula macrospora",5573
"Naevia punctiformis",5503
"Arthonia vinosa",5143
"Rinodina teichophila",5032
"Snippocia nivea",4828
"Pyrenula chlorospila",4551
"Myriolecis antiqua",4345
"Stenocybe septata",4308
"Lecanora jamesii",3973
"Acrocordia conoidea",3890
"Schizotrema quercicola",3586
"Varicellaria lactea",3539
"Enterographa zonata",3515
"Zwackhia sorediifera",3477
"Mycoporum antecellens",3445
"Thelopsis corticola",3333
"Lepraria membranacea",3274
"Alyxoria culmigena",3262
"Pachnolepia pruinata",3214
"Alyxoria ochrocheila",3033
"Punctelia reddenda",3021
"Mycobilimbia sphaeroides",2946
"Coniocarpon cuspidans",2912
"Fuscidea lygaea",2890
"Secoliga jenensis",2736
"Micarea leprosula",2646
"Acrocordia salweyi",2586
"Lathagrium fuscovirens",2522
"Lecanora hybocarpa",2466
"Inoderma subabietinum",2448
"Lecidella asema",2419
"Stereocaulon dactylophyllum",2348
"Ephebe lanata",2270
"Aquacidia viridifarinosa",2254
"Collema furfuraceum",2238
"Rhizocarpon richardii",2229
"Agonimia octospora",2148
"Leptogium cyanescens",2146
"Porina coralloidea",2142
"Lecidea grisella",2002
"Dichoporis taylorii",1997
"Micarea alabastrites",1994
"Leptogium burgessii",1964
"Sarcopyrenia geisleri",1881
"Myriospora rufescens",1880
"Lecanora helicopis",1847
"Cyrtidula quercus",1843
"Arthonia fusca",1818
"Lecania turicensis",1807
"Tomasellia gelatinosa",1790
"Lecidea lactea",1780
"Verrucaria fusconigrescens",1722
"Buellia stellulata",1720
"Collema subflaccidum",1720
"Scytinium schraderi",1672
"Allographa anomala",1624
"Xanthoriicola physciae",1612
"Arthonia ilicina",1574
"Fuscidea kochiana",1549
"Vouauxiella lichenicola",1542
"Lathagrium cristatum",1517
"Porina linearis",1509
"Illosporiopsis christiansenii",1508
"Collema flaccidum",1498
"Cladonia cryptochlorophaea",1434
"Enterographa sorediata",1412
"Lecanora alboflavida",1412
"Placidium squamulosum",1388
"Crutarndina petractoides",1368
"Aspicilia grisea",1364
"Scytinium plicatile",1351
"Phaeographis smithii",1328
"Pertusaria lactescens",1312
"Graphis inustuloides",1309
"Porina borreri",1300
"Lecania rabenhorstii",1298
"Schaereria cinereorufa",1280
"Skyttea nitschkei",1274
"Myriolecis actophila",1226
"Squamarina cartilaginea",1220
